,Open,High,Low,Close
2025-05-21,229.2786322108083,230.93237892096968,224.24074752482034,229.81994856049843
2025-05-22,229.81994856049843,229.8269684501076,216.57397677309928,218.51438243098542
2025-05-23,218.51438243098542,220.5208545430352,212.9966208295054,215.20775616526944
2025-05-26,215.20775616526944,215.62677396006865,205.63033641434168,206.34068381959642
2025-05-27,206.34068381959642,209.781962820666,198.26706087867356,201.482064604282
2025-05-28,201.482064604282,211.11138663977778,199.93464558555192,209.22910680338774
2025-05-29,209.22910680338774,210.54819776243673,201.43284181345496,201.94961349744327
2025-05-30,201.94961349744327,203.46298588073861,191.3796793810538,193.56130391338294
2025-06-02,193.56130391338294,200.71219725919775,191.52976813159364,200.117211555773
2025-06-03,200.117211555773,203.55713154379208,195.51825011802617,197.87617528530407
2025-06-04,197.87617528530407,202.17750119424824,187.58758951594916,189.19307292171268
2025-06-05,189.19307292171268,193.40237024127725,186.17039836101884,186.98730762571176
2025-06-06,186.98730762571176,189.4736250704643,184.55240332954827,186.98509122950892
2025-06-09,186.98509122950892,189.29462978402907,186.4151291446964,188.7520743460494
2025-06-10,188.7520743460494,195.88132575165966,186.93621436604855,194.841220919624
2025-06-11,194.841220919624,195.42702526384133,191.69126365408053,194.60784499917284
2025-06-12,194.60784499917284,194.66606194085333,192.09724748736937,194.55193815460999
2025-06-13,194.55193815460999,197.1980578511542,194.45701877722456,196.3179065903348
2025-06-16,196.3179065903348,204.98031441107307,195.67596801873947,203.39469631426093
2025-06-17,203.39469631426093,205.91835356959476,189.84432429757362,191.66497073600695
2025-06-18,191.66497073600695,199.31481588499693,191.59311155923962,196.24454880922454
2025-06-19,196.24454880922454,203.7511271530665,195.56890896929423,202.9193107176286
2025-06-20,202.9193107176286,203.08486000109656,195.10199801512667,195.4737311113595
2025-06-23,195.4737311113595,203.14558553909225,192.7978548831816,201.3718361682289
2025-06-24,201.3718361682289,201.82705585160937,199.12490017455883,201.2264631014141
2025-06-25,201.2264631014141,202.9148917301944,195.34344785407703,196.2056816898562
2025-06-26,196.2056816898562,197.3502174418633,185.37871956570797,185.47733597594228
2025-06-27,185.47733597594228,190.37734250927483,185.45388016422172,187.2542930602096
2025-06-30,187.2542930602096,189.44442178502416,182.04446188122293,183.03897263793436
2025-07-01,183.03897263793436,185.6283907292341,181.91179437738873,181.9315655993049
2025-07-02,181.9315655993049,183.1121271712216,167.80728121929397,170.55404035231302
2025-07-03,170.55404035231302,170.81442927395207,168.49548180461468,169.42752296172387
2025-07-04,169.42752296172387,175.25501723492766,167.78279472082355,174.64617148051187
2025-07-07,174.64617148051187,176.22750756034753,163.58042539122405,164.73084380468194
2025-07-08,164.73084380468194,168.00210314931195,163.9138068530171,165.91057316578218
2025-07-09,165.91057316578218,166.99224025937605,153.5511997064059,154.28987123028745
2025-07-10,154.28987123028745,161.62320734185673,153.17430497846516,158.4377015337623
2025-07-11,158.4377015337623,159.86026874258056,148.53675875502873,150.39711203878377
2025-07-14,150.39711203878377,151.76491835548256,150.16372787622814,150.69203639265558
2025-07-15,150.69203639265558,153.19392261610847,145.36295645016062,146.7282681757955
